id_comp;nom;id_cat;id_met;id_serv
C001;Fondamentaux de l'Informatique;AT04;ME01;SE01
C002;Base de donnees;AT04;ME01;SE01
C003;Traitement de donnees;AT03;ME01;SE01
C004;Gestion de donnees;AT03;ME01;SE01
C005;Analyse de donnees;AT03;ME01;SE01
C006;Statistiques;AT03;ME01;SE01
C007;Probabilites;AT03;ME01;SE01
C008;Echantillonnage;AT03;ME01;SE01
C009;Optimisation;AT03;ME01;SE01
C010;Comptabilite generale;AT02;ME01;SE01
C011;Comptabilite analytique;AT02;ME01;SE01
C012;Finance internationale;AT02;ME01;SE01
C013;Microeconomie;AT01;ME01;SE01
C014;Macroeconomie;AT01;ME01;SE01
C015;Economie internationale;AT01;ME01;SE01
C016;Droit des affaires;AT01;ME01;SE01
C017;Management des organisations;AT01;ME01;SE01
C018;Algorithmique;AT04;ME01;SE01
C019;Programmation;AT04;ME01;SE01
C020;Python;AT04;ME01;SE01
C021;VBA;AT04;ME01;SE01
C022;JavaScript;AT04;ME01;SE01
C023;SAS;AT03;ME01;SE01
C024;Systemes d'information;AT04;ME01;SE01
C025;Entrepot de donnees;AT03;ME02;SE01
C026;Big data;AT03;ME02;SE01
C027;Data mining;AT03;ME02;SE01
C028;Data visualisation;AT03;ME02;SE01
C029;Power BI;AT03;ME02;SE01
C030;Intelligence artificielle;AT03;ME02;SE01
C031;LLM;AT03;ME02;SE01
C032;Econometrie;AT03;ME02;SE01
C033;Series temporelles;AT03;ME02;SE01
C034;Prevision;AT03;ME02;SE01
C035;Economie financiere;AT02;ME02;SE01
C036;Finance de marche;AT02;ME02;SE01
C037;Finance d'entreprise;AT02;ME02;SE01
C038;Analyse financiere;AT02;ME02;SE01
C039;Modeles financiers;AT02;ME02;SE01
C040;Prevision financiere;AT02;ME02;SE01
C041;Cybersecurite;AT04;ME02;SE01
C042;RGPD;AT04;ME02;SE01
C043;Droit informatique;AT01;ME02;SE01
C044;Aide a la decision;AT01;ME02;SE01
C045;Linux;AT04;ME03;SE02
C046;Reseau informatique;AT04;ME03;SE02
C047;Git;AT04;ME03;SE02
C048;PHP;AT04;ME03;SE02
C049;Twig;AT04;ME03;SE02
C050;Chart.js;AT04;ME03;SE02
C051;SQL;AT03;ME03;SE02
C052;MySQL;AT03;ME03;SE02
C053;Modelisation de donnees;AT03;ME03;SE02
C054;Historisation des donnees;AT03;ME03;SE02
C055;Tracabilite des calculs;AT03;ME03;SE02
C056;Kubernetes;AT05;ME03;SE02
C057;kubectl;AT05;ME03;SE02
C058;Helm;AT05;ME03;SE02
C059;Orchestration de conteneurs;AT05;ME03;SE02
C060;Deploiement applicatif;AT05;ME03;SE02
C061;Configuration applicative;AT05;ME03;SE02
C062;Persistance des donnees;AT05;ME03;SE02
C063;Observabilite;AT05;ME03;SE02
C064;Allocation de couts;AT02;ME03;SE02
C065;Amortissement;AT02;ME01;SE01
C066;Automatisation des calculs financiers;AT02;ME03;SE02
C067;Tableaux de bord;AT01;ME03;SE02
